النوع,"رقم المدين","اسم المدين","نوع المدين","رقم المخصوم منه","اسم المخصوم منه","نوع المخصوم منه","المبلغ (كوينز)","المبلغ (دولار)",العملية,السبب
استرداد_يوزر,301,"ابو جبريل",يوزر,158,"وكالة VIP",وكالة,1950000,65,"خصم كوينز وكالة + حذف شحنة","يوزر #301 شحن وكالة #158 بكوينز مخالفة"
استرداد_يوزر,301,"ابو جبريل",يوزر,158,"وكالة VIP",وكالة,1170000,39,"خصم كوينز وكالة + حذف شحنة","يوزر #301 شحن وكالة #158 بكوينز مخالفة"
استرداد_يوزر,301,"ابو جبريل",يوزر,301,"ابو جبريل",يوزر,62,0.0021,"خصم رصيد + حذف شحنة","يوزر #301 شحن يوزر #301, استرداد من رصيد الماس"
استرداد_يوزر,301,"ابو جبريل",يوزر,301,"ابو جبريل",يوزر,402569,13.419,"حذف هدايا + عكس أرصدة (عمق=1)","سلسلة هدايا: #301 أرسل لـ #301, تتبع من المدين #301"
استرداد_يوزر,301,"ابو جبريل",يوزر,158,"وكالة VIP",وكالة,4680000,156,"خصم كوينز وكالة + حذف شحنة","يوزر #301 شحن وكالة #158 بكوينز مخالفة"
استرداد_يوزر,301,"ابو جبريل",يوزر,158,"وكالة VIP",وكالة,3510000,117,"خصم كوينز وكالة + حذف شحنة","يوزر #301 شحن وكالة #158 بكوينز مخالفة"
استرداد_يوزر,301,"ابو جبريل",يوزر,158,"وكالة VIP",وكالة,1980000,66,"خصم كوينز وكالة + حذف شحنة","يوزر #301 شحن وكالة #158 بكوينز مخالفة"
استرداد_يوزر,301,"ابو جبريل",يوزر,158,"وكالة VIP",وكالة,7800000,260,"خصم كوينز وكالة + حذف شحنة","يوزر #301 شحن وكالة #158 بكوينز مخالفة"
استرداد_يوزر,301,"ابو جبريل",يوزر,158,"وكالة VIP",وكالة,5850000,195,"خصم كوينز وكالة + حذف شحنة","يوزر #301 شحن وكالة #158 بكوينز مخالفة"
استرداد_يوزر,301,"ابو جبريل",يوزر,158,"وكالة VIP",وكالة,900000,30,"خصم كوينز وكالة + حذف شحنة","يوزر #301 شحن وكالة #158 بكوينز مخالفة"
